x,y,species cloglog values
1.0,1.0,0.29664695
2.0,2.0,0.19897687
3.0,3.0,0.0166377
4.0,4.0,0.026683494
5.0,5.0,0.49704498
6.0,6.0,0.027871424
7.0,7.0,0.0039476682
8.0,8.0,0.09877809
9.0,9.0,0.0336864
10.0,10.0,0.034583706
11.0,11.0,0.22114977
12.0,12.0,0.344014
13.0,13.0,0.30637056
14.0,14.0,0.10408106
15.0,15.0,0.01953572
16.0,16.0,0.015576969
17.0,17.0,0.18474558
18.0,18.0,0.32446414
19.0,19.0,0.7895049
20.0,20.0,0.32662
21.0,21.0,0.054089375
22.0,22.0,0.13779029
23.0,23.0,0.0461559
24.0,24.0,0.27724096
25.0,25.0,0.11086518
26.0,26.0,0.020319864
27.0,27.0,0.008981756
28.0,28.0,0.027130362
29.0,29.0,0.23673871
30.0,30.0,0.021195073
31.0,31.0,0.015166005
32.0,32.0,0.27803108
33.0,33.0,0.531497
34.0,34.0,0.019079292
35.0,35.0,0.7976
36.0,36.0,0.028422827
37.0,37.0,0.20161407
38.0,38.0,0.033892747
39.0,39.0,0.07921629
40.0,40.0,0.049772512
41.0,41.0,0.36543924
42.0,42.0,0.06209424
43.0,43.0,0.0673825
44.0,44.0,0.2220482
45.0,45.0,0.16571075
46.0,46.0,0.46027696
47.0,47.0,0.016838001
48.0,48.0,0.3688398
49.0,49.0,0.46074784
50.0,50.0,0.093221396
